Day,Month,Year,Open,High,Low,Close,Adj Close,Volume
24,Oct,2008,"9,497.48","9,570.71","8,566.82","8,701.07","8,701.07","63,600"
23,Oct,2008,"9,683.26","10,260.55","9,682.40","9,771.70","9,771.70","41,000"
22,Oct,2008,"10,455.23","10,484.85","10,128.22","10,169.90","10,169.90","33,400"
21,Oct,2008,"10,428.11","10,750.20","10,250.23","10,683.39","10,683.39","45,800"
20,Oct,2008,"10,160.47","10,538.05","10,023.28","10,223.09","10,223.09","35,400"
17,Oct,2008,"10,763.34","10,786.93","9,911.32","9,975.35","9,975.35","47,400"
16,Oct,2008,"10,221.53","10,787.20","10,017.80","10,581.49","10,581.49","51,600"
15,Oct,2008,"11,245.27","11,257.15","10,760.33","10,809.12","10,809.12","34,800"
14,Oct,2008,"11,781.43","11,870.22","11,410.49","11,483.40","11,483.40","36,000"
13,Oct,2008,"10,817.68","11,361.32","10,817.68","11,309.09","11,309.09","43,800"
10,Oct,2008,"10,632.27","10,904.13","10,239.76","10,527.85","10,527.85","62,400"
8,Oct,2008,"11,316.24","11,405.73","10,740.76","11,328.36","11,328.36","66,200"
7,Oct,2008,"12,068.11","12,181.08","11,501.85","11,695.24","11,695.24","40,400"
6,Oct,2008,"12,284.49","12,284.49","11,732.97","11,801.70","11,801.70","33,000"
3,Oct,2008,"12,851.47","13,001.19","12,472.61","12,526.32","12,526.32","37,200"
1,Oct,2008,"13,006.72","13,203.86","12,697.30","13,055.67","13,055.67","32,400"
30,Sep,2008,"12,178.18","12,995.20","12,153.55","12,860.43","12,860.43","38,400"
29,Sep,2008,"13,109.96","13,109.96","12,402.84","12,595.75","12,595.75","37,000"
26,Sep,2008,"13,486.20","13,486.20","13,054.42","13,102.18","13,102.18","29,000"
25,Sep,2008,"13,716.88","13,716.88","13,430.68","13,547.18","13,547.18","36,600"
24,Sep,2008,"13,636.71","13,840.81","13,592.79","13,692.52","13,692.52","40,200"
23,Sep,2008,"13,721.42","13,978.26","13,543.47","13,570.31","13,570.31","29,600"
22,Sep,2008,"14,215.33","14,215.33","13,917.48","13,994.96","13,994.96","35,800"
19,Sep,2008,"13,763.83","14,097.44","13,674.96","14,042.32","14,042.32","47,400"
18,Sep,2008,"12,712.82","13,346.79","12,558.14","13,315.60","13,315.60","48,000"
17,Sep,2008,"13,620.74","13,620.74","13,127.96","13,262.90","13,262.90","30,400"
16,Sep,2008,"13,051.73","13,556.03","13,051.73","13,518.80","13,518.80","33,600"
15,Sep,2008,"13,592.05","13,592.05","13,150.81","13,531.27","13,531.27","24,000"
12,Sep,2008,"14,433.20","14,433.20","13,933.87","14,000.81","14,000.81","26,800"
11,Sep,2008,"14,557.33","14,557.33","14,265.38","14,324.29","14,324.29","22,800"
10,Sep,2008,"14,717.53","14,866.32","14,609.83","14,662.61","14,662.61","22,800"
